table,commands,classification,security_direct_access_recommended,surfaces,confidence
access_tokens,"INSERT,SELECT,UPDATE",BLOCKED_PENDING_HARDENED_ROUTINE_OR_PROVEN_EXCLUSION,False,direct_sql,high
ai_review_assignments,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
ai_review_events,"INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,enabled autopilot proposal/review phase",high
ai_review_revisions,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,enabled autopilot proposal/review phase",high
ai_review_rounds,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
ai_review_votes,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
budget_ledger,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
budget_reservations,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
calibration_profiles,"DELETE,INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,enabled autopilot calibration_profile phase",high
code_edges_chunk,"DELETE,INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,reindex/resolve_symbol_edges worker and enabled autopilot global maintenance","high,medium-high"
code_edges_symbol,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,reindex/resolve_symbol_edges worker and enabled autopilot global maintenance","high,medium-high"
code_traversal_cache,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
concept_proposals,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,enabled autopilot synthesize_concepts phase",high
config,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,True,"direct_sql,worker handler configuration, autopilot state, source-ingest gates and background sinks",high
content_chunks,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,sync/import/source-ingest and embed/embed-backfill/autopilot phases",high
context_volunteer_events,"DELETE,INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,serve/watch volunteer-events background sink and autopilot purge phase",high
conversation_parser_llm_cache,"INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
dream_verdicts,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
eval_candidates,"DELETE,INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,serve/CLI/subagent eval-capture background sink when capture is enabled",high
eval_capture_failures,"INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,eval-capture background sink failure path",high
eval_contradictions_cache,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
eval_contradictions_runs,"INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
eval_takes_quality_runs,"INSERT,SELECT",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
extract_rollup_7d,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
facts,"DELETE,INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,"direct_sql,facts background sink, extract_facts/consolidate/autopilot and extraction handlers","high,medium-high"
files,"INSERT,SELECT,UPDATE",CANDIDATE_DIRECT_RUNTIME_ACL,,direct_sql,high
