table,select,insert,update,delete,disposition,review_status
access_tokens,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
ai_review_assignments,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
ai_review_events,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
ai_review_revisions,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
ai_review_rounds,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
ai_review_votes,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
budget_ledger,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
budget_reservations,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
calibration_profiles,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
code_edges_chunk,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
code_edges_symbol,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
code_traversal_cache,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
concept_proposals,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
config,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
content_chunks,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
context_volunteer_events,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
conversation_parser_llm_cache,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
dream_verdicts,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
drift_decisions,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
eval_candidates,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
eval_capture_failures,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
eval_contradictions_cache,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
eval_contradictions_runs,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
eval_takes_quality_runs,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
extract_rollup_7d,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
facts,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
file_migration_ledger,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
files,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
gbrain_cycle_locks,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
ingest_log,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
intake_batches,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_events,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_files,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_link_selections,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_new_objects,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_object_link_selections,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
intake_review_items,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
links,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
mcp_request_log,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
mcp_spend_log,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
mcp_spend_reservations,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
migration_impact_log,1,0,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
minion_attachments,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
